@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mc2022_track1_001.dimacs,1,dpmcpre/1pre1mp0,0.09,ok
mc2022_track1_001.dimacs,1,dpmcpre/1pre1mp1,0.049,ok
mc2022_track1_001.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.05,ok
mc2022_track1_001.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.048,ok
mc2022_track1_001.dimacs,1,TwG/1.sh,3600.01,timeout
mc2022_track1_001.dimacs,1,d4/default.sh,0.277,ok
mc2022_track1_001.dimacs,1,TwG/2.sh,3650.01,crash
mc2022_track1_001.dimacs,1,ExactMC/ExactMC_BE.sh,0.841,ok
mc2022_track1_001.dimacs,1,c2d/default,3650.01,crash
mc2022_track1_001.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.362,ok
mc2022_track1_001.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.067,ok
mc2022_track1_001.dimacs,1,SharpSAT-TD-unweighted/default,0.223,ok
mc2022_track1_001.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_001.dimacs,1,gpmc_r2/track1,0.158,ok
mc2022_track1_001.dimacs,1,gpmc/track1,0.041,ok
mc2022_track1_001.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.55,ok
mc2022_track1_002.dimacs,1,dpmcpre/1pre1mp0,0.087,ok
mc2022_track1_002.dimacs,1,dpmcpre/1pre1mp1,0.048,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.051,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.047,ok
mc2022_track1_002.dimacs,1,TwG/1.sh,3600.01,timeout
mc2022_track1_002.dimacs,1,d4/default.sh,0.302,ok
mc2022_track1_002.dimacs,1,TwG/2.sh,3650.01,crash
mc2022_track1_002.dimacs,1,ExactMC/ExactMC_BE.sh,0.865,ok
mc2022_track1_002.dimacs,1,c2d/default,3650.01,crash
mc2022_track1_002.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.688,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.067,ok
mc2022_track1_002.dimacs,1,SharpSAT-TD-unweighted/default,0.179,ok
mc2022_track1_002.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_002.dimacs,1,gpmc_r2/track1,0.057,ok
mc2022_track1_002.dimacs,1,gpmc/track1,0.036,ok
mc2022_track1_002.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.496,ok
mc2022_track1_003.dimacs,1,gpmc_r2/track1,0.021,ok
mc2022_track1_003.dimacs,1,gpmc/track1,0.009,ok
mc2022_track1_003.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.271,ok
mc2022_track1_003.dimacs,1,dpmcpre/1pre1mp0,0.08,ok
mc2022_track1_003.dimacs,1,dpmcpre/1pre1mp1,0.053,ok
mc2022_track1_003.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.048,ok
mc2022_track1_003.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.046,ok
mc2022_track1_003.dimacs,1,TwG/1.sh,3600.01,timeout
mc2022_track1_003.dimacs,1,d4/default.sh,0.357,ok
mc2022_track1_003.dimacs,1,TwG/2.sh,3650.01,crash
mc2022_track1_003.dimacs,1,ExactMC/ExactMC_BE.sh,0.785,ok
mc2022_track1_003.dimacs,1,c2d/default,3650.01,crash
mc2022_track1_003.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.373,ok
mc2022_track1_003.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.065,ok
mc2022_track1_003.dimacs,1,SharpSAT-TD-unweighted/default,0.185,ok
mc2022_track1_003.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_004.dimacs,1,dpmcpre/1pre1mp0,14.491,ok
mc2022_track1_004.dimacs,1,dpmcpre/1pre1mp1,14.072,ok
mc2022_track1_004.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,27.594,ok
