@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mc2022_track1_005.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,23.235,ok
mc2022_track1_005.dimacs,1,SharpSAT-TD-unweighted/default,12.559,ok
mc2022_track1_005.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_005.dimacs,1,gpmc_r2/track1,73.86,ok
mc2022_track1_005.dimacs,1,gpmc/track1,73.71,ok
mc2022_track1_005.dimacs,1,ExactMC/ExactMC_Arjun.sh,23.893,ok
mc2022_track1_006.dimacs,1,gpmc_r2/track1,14.005,ok
mc2022_track1_006.dimacs,1,gpmc/track1,13.507,ok
mc2022_track1_006.dimacs,1,ExactMC/ExactMC_Arjun.sh,3.245,ok
mc2022_track1_006.dimacs,1,dpmcpre/1pre1mp0,27.2,ok
mc2022_track1_006.dimacs,1,dpmcpre/1pre1mp1,20.94,ok
mc2022_track1_006.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,3.006,ok
mc2022_track1_006.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,2.982,ok
mc2022_track1_006.dimacs,1,TwG/1.sh,3650.01,crash
mc2022_track1_006.dimacs,1,d4/default.sh,3600.01,timeout
mc2022_track1_006.dimacs,1,TwG/2.sh,30.318,ok
mc2022_track1_006.dimacs,1,ExactMC/ExactMC_BE.sh,36.848,ok
mc2022_track1_006.dimacs,1,c2d/default,2568.407,ok
mc2022_track1_006.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,3.386,ok
mc2022_track1_006.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,2.662,ok
mc2022_track1_006.dimacs,1,SharpSAT-TD-unweighted/default,24.51,ok
mc2022_track1_006.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_007.dimacs,1,gpmc_r2/track1,0.011,ok
mc2022_track1_007.dimacs,1,gpmc/track1,0.012,ok
mc2022_track1_007.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.266,ok
mc2022_track1_007.dimacs,1,dpmcpre/1pre1mp0,0.084,ok
mc2022_track1_007.dimacs,1,dpmcpre/1pre1mp1,0.054,ok
mc2022_track1_007.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.039,ok
mc2022_track1_007.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.047,ok
mc2022_track1_007.dimacs,1,TwG/1.sh,0.01,ok
mc2022_track1_007.dimacs,1,d4/default.sh,0.025,ok
mc2022_track1_007.dimacs,1,TwG/2.sh,0.009,ok
mc2022_track1_007.dimacs,1,ExactMC/ExactMC_BE.sh,0.238,ok
mc2022_track1_007.dimacs,1,c2d/default,0.041,ok
mc2022_track1_007.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.05,ok
mc2022_track1_007.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.04,ok
mc2022_track1_007.dimacs,1,SharpSAT-TD-unweighted/default,120.026,ok
mc2022_track1_007.dimacs,1,mtmc/default,72.701,ok
mc2022_track1_008.dimacs,1,gpmc_r2/track1,0.011,ok
mc2022_track1_008.dimacs,1,gpmc/track1,0.01,ok
mc2022_track1_008.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.254,ok
mc2022_track1_008.dimacs,1,dpmcpre/1pre1mp0,0.081,ok
mc2022_track1_008.dimacs,1,dpmcpre/1pre1mp1,0.051,ok
mc2022_track1_008.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.038,ok
mc2022_track1_008.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.048,ok
mc2022_track1_008.dimacs,1,TwG/1.sh,0.009,ok
mc2022_track1_008.dimacs,1,d4/default.sh,0.023,ok
mc2022_track1_008.dimacs,1,TwG/2.sh,0.01,ok
mc2022_track1_008.dimacs,1,ExactMC/ExactMC_BE.sh,0.238,ok
mc2022_track1_008.dimacs,1,c2d/default,0.041,ok
mc2022_track1_008.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.048,ok
mc2022_track1_008.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.038,ok
mc2022_track1_008.dimacs,1,SharpSAT-TD-unweighted/default,120.026,ok
mc2022_track1_008.dimacs,1,mtmc/default,46.566,ok
mc2022_track1_009.dimacs,1,dpmcpre/1pre1mp0,0.581,ok
mc2022_track1_009.dimacs,1,dpmcpre/1pre1mp1,0.068,ok
mc2022_track1_009.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.289,ok
mc2022_track1_009.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.06,ok
mc2022_track1_009.dimacs,1,TwG/1.sh,15.526,ok
mc2022_track1_009.dimacs,1,d4/default.sh,0.061,ok
mc2022_track1_009.dimacs,1,TwG/2.sh,15.053,ok
mc2022_track1_009.dimacs,1,ExactMC/ExactMC_BE.sh,0.264,ok
mc2022_track1_009.dimacs,1,c2d/default,0.066,ok
mc2022_track1_009.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.09,ok
mc2022_track1_009.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.064,ok
mc2022_track1_009.dimacs,1,SharpSAT-TD-unweighted/default,120.051,ok
mc2022_track1_009.dimacs,1,mtmc/default,119.412,ok
mc2022_track1_009.dimacs,1,gpmc_r2/track1,0.015,ok
mc2022_track1_009.dimacs,1,gpmc/track1,0.016,ok
mc2022_track1_009.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.263,ok
mc2022_track1_010.dimacs,1,dpmcpre/1pre1mp0,0.124,ok
mc2022_track1_010.dimacs,1,dpmcpre/1pre1mp1,0.058,ok
mc2022_track1_010.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.042,ok
mc2022_track1_010.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.051,ok
mc2022_track1_010.dimacs,1,TwG/1.sh,0.01,ok
mc2022_track1_010.dimacs,1,d4/default.sh,0.025,ok
mc2022_track1_010.dimacs,1,TwG/2.sh,0.011,ok
mc2022_track1_010.dimacs,1,ExactMC/ExactMC_BE.sh,0.255,ok
mc2022_track1_010.dimacs,1,c2d/default,0.042,ok
mc2022_track1_010.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.052,ok
mc2022_track1_010.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.043,ok
mc2022_track1_010.dimacs,1,SharpSAT-TD-unweighted/default,120.031,ok
mc2022_track1_010.dimacs,1,mtmc/default,79.625,ok
mc2022_track1_010.dimacs,1,gpmc_r2/track1,0.012,ok
mc2022_track1_010.dimacs,1,gpmc/track1,0.012,ok
mc2022_track1_010.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.274,ok
mc2022_track1_011.dimacs,1,dpmcpre/1pre1mp0,0.094,ok
mc2022_track1_011.dimacs,1,dpmcpre/1pre1mp1,0.057,ok
mc2022_track1_011.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.043,ok
mc2022_track1_011.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.051,ok
mc2022_track1_011.dimacs,1,TwG/1.sh,0.059,ok
mc2022_track1_011.dimacs,1,d4/default.sh,0.025,ok
mc2022_track1_011.dimacs,1,TwG/2.sh,0.059,ok
mc2022_track1_011.dimacs,1,ExactMC/ExactMC_BE.sh,0.241,ok
mc2022_track1_011.dimacs,1,c2d/default,0.139,ok
mc2022_track1_011.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.048,ok
mc2022_track1_011.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.04,ok
mc2022_track1_011.dimacs,1,SharpSAT-TD-unweighted/default,120.032,ok
mc2022_track1_011.dimacs,1,mtmc/default,102.763,ok
mc2022_track1_011.dimacs,1,gpmc_r2/track1,0.011,ok
mc2022_track1_011.dimacs,1,gpmc/track1,0.015,ok
mc2022_track1_011.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.259,ok
mc2022_track1_012.dimacs,1,TwG/1.sh,5.816,ok
mc2022_track1_012.dimacs,1,d4/default.sh,0.024,ok
mc2022_track1_012.dimacs,1,TwG/2.sh,5.858,ok
mc2022_track1_012.dimacs,1,ExactMC/ExactMC_BE.sh,0.234,ok
mc2022_track1_012.dimacs,1,c2d/default,2.986,ok
mc2022_track1_012.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.052,ok
mc2022_track1_012.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.04,ok
mc2022_track1_012.dimacs,1,SharpSAT-TD-unweighted/default,120.035,ok
mc2022_track1_012.dimacs,1,mtmc/default,3650.01,crash
mc2022_track1_012.dimacs,1,gpmc_r2/track1,0.506,ok
mc2022_track1_012.dimacs,1,gpmc/track1,0.035,ok
mc2022_track1_012.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.502,ok
mc2022_track1_012.dimacs,1,dpmcpre/1pre1mp0,0.514,ok
mc2022_track1_012.dimacs,1,dpmcpre/1pre1mp1,0.055,ok
mc2022_track1_012.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.09,ok
mc2022_track1_012.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.07,ok
mc2022_track1_013.dimacs,1,gpmc_r2/track1,0.042,ok
mc2022_track1_013.dimacs,1,gpmc/track1,0.016,ok
mc2022_track1_013.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.261,ok
mc2022_track1_013.dimacs,1,dpmcpre/1pre1mp0,0.093,ok
mc2022_track1_013.dimacs,1,dpmcpre/1pre1mp1,0.067,ok
mc2022_track1_013.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.045,ok
mc2022_track1_013.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.041,ok
mc2022_track1_013.dimacs,1,TwG/1.sh,3.998,ok
mc2022_track1_013.dimacs,1,d4/default.sh,0.027,ok
mc2022_track1_013.dimacs,1,TwG/2.sh,3.99,ok
mc2022_track1_013.dimacs,1,ExactMC/ExactMC_BE.sh,0.24,ok
mc2022_track1_013.dimacs,1,c2d/default,0.043,ok
mc2022_track1_013.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.042,ok
mc2022_track1_013.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.041,ok
mc2022_track1_013.dimacs,1,SharpSAT-TD-unweighted/default,120.039,ok
mc2022_track1_013.dimacs,1,mtmc/default,137.557,ok
mc2022_track1_015.dimacs,1,dpmcpre/1pre1mp0,0.103,ok
mc2022_track1_015.dimacs,1,dpmcpre/1pre1mp1,0.058,ok
mc2022_track1_015.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.041,ok
mc2022_track1_015.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.047,ok
mc2022_track1_015.dimacs,1,TwG/1.sh,0.009,ok
mc2022_track1_015.dimacs,1,d4/default.sh,0.026,ok
mc2022_track1_015.dimacs,1,TwG/2.sh,0.009,ok
mc2022_track1_015.dimacs,1,ExactMC/ExactMC_BE.sh,0.251,ok
mc2022_track1_015.dimacs,1,c2d/default,0.04,ok
mc2022_track1_015.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,120.048,ok
mc2022_track1_015.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.039,ok
mc2022_track1_015.dimacs,1,SharpSAT-TD-unweighted/default,120.023,ok
mc2022_track1_015.dimacs,1,mtmc/default,23.915,ok
mc2022_track1_015.dimacs,1,gpmc_r2/track1,0.01,ok
mc2022_track1_015.dimacs,1,gpmc/track1,0.01,ok
mc2022_track1_015.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.277,ok
mc2022_track1_016.dimacs,1,gpmc_r2/track1,0.292,ok
mc2022_track1_016.dimacs,1,gpmc/track1,0.035,ok
mc2022_track1_016.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.6,ok
mc2022_track1_016.dimacs,1,dpmcpre/1pre1mp0,0.493,ok
mc2022_track1_016.dimacs,1,dpmcpre/1pre1mp1,0.058,ok
mc2022_track1_016.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.182,ok
mc2022_track1_016.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,120.077,ok
mc2022_track1_016.dimacs,1,TwG/1.sh,1.096,ok
mc2022_track1_016.dimacs,1,d4/default.sh,0.069,ok
mc2022_track1_016.dimacs,1,TwG/2.sh,0.853,ok
mc2022_track1_016.dimacs,1,ExactMC/ExactMC_BE.sh,0.276,ok
mc2022_track1_016.dimacs,1,c2d/default,0.668,ok
